"sub","defaced","rater","ratings"
83,"defaced","rater01","good"
84,"original","rater01","excellent"
84,"defaced","rater01","excellent"
85,"original","rater01","excellent"
85,"defaced","rater01","excellent"
86,"original","rater01","poor"
86,"defaced","rater01","poor"
87,"original","rater01","good"
87,"defaced","rater01","good"
88,"original","rater01","poor"
88,"defaced","rater01","poor"
89,"original","rater01","good"
89,"defaced","rater01","good"
90,"original","rater01","excellent"
90,"defaced","rater01","excellent"
91,"original","rater01","good"
91,"defaced","rater01","good"
92,"original","rater01","excluded"
92,"defaced","rater01","excluded"
93,"original","rater01","excellent"
93,"defaced","rater01","excellent"
94,"original","rater01","excluded"
94,"defaced","rater01","excluded"
95,"original","rater01","excluded"
95,"defaced","rater01","excluded"
96,"original","rater01","poor"
96,"defaced","rater01","poor"
97,"original","rater01","good"
97,"defaced","rater01","good"
98,"original","rater01","good"
98,"defaced","rater01","good"
99,"original","rater01","excluded"
99,"defaced","rater01","excluded"
100,"original","rater01","excellent"
100,"defaced","rater01","excellent"
101,"original","rater01","excellent"
101,"defaced","rater01","excellent"
102,"original","rater01","poor"
102,"defaced","rater01","poor"
103,"original","rater01","poor"
103,"defaced","rater01","poor"
104,"original","rater01","good"
104,"defaced","rater01","good"
105,"original","rater01","excluded"
105,"defaced","rater01","excluded"
106,"original","rater01","excluded"
106,"defaced","rater01","excluded"
107,"original","rater01","poor"
107,"defaced","rater01","poor"
108,"original","rater01","excluded"
108,"defaced","rater01","excluded"
109,"original","rater01","excluded"
109,"defaced","rater01","excluded"
110,"original","rater01","good"
110,"defaced","rater01","good"
111,"original","rater01","poor"
111,"defaced","rater01","poor"
112,"original","rater01","poor"
112,"defaced","rater01","poor"
113,"original","rater01","excellent"
113,"defaced","rater01","excellent"
114,"original","rater01","excellent"
114,"defaced","rater01","excellent"
115,"original","rater01","good"
115,"defaced","rater01","good"
116,"original","rater01","good"
116,"defaced","rater01","good"
117,"original","rater01","good"
117,"defaced","rater01","good"
118,"original","rater01","excellent"
118,"defaced","rater01","excellent"
119,"original","rater01","poor"
119,"defaced","rater01","poor"
120,"original","rater01","poor"
120,"defaced","rater01","poor"
121,"original","rater01","poor"
121,"defaced","rater01","poor"
122,"original","rater01","poor"
122,"defaced","rater01","poor"
123,"original","rater01","good"
123,"defaced","rater01","good"
124,"original","rater01","excellent"
124,"defaced","rater01","excellent"
125,"original","rater01","excellent"
125,"defaced","rater01","excellent"
126,"original","rater01","poor"
126,"defaced","rater01","poor"
127,"original","rater01","poor"
127,"defaced","rater01","poor"
128,"original","rater01","excluded"
128,"defaced","rater01","excluded"
129,"original","rater01","excluded"
129,"defaced","rater01","excluded"
130,"original","rater01","excluded"
130,"defaced","rater01","excluded"
131,"original","rater01","poor"
131,"defaced","rater01","poor"
132,"original","rater01","poor"
132,"defaced","rater01","poor"
133,"original","rater01","excluded"
133,"defaced","rater01","excluded"
134,"original","rater01","poor"
134,"defaced","rater01","poor"
135,"original","rater01","excellent"
135,"defaced","rater01","excellent"
136,"original","rater01","good"
136,"defaced","rater01","good"
137,"original","rater01","excluded"
137,"defaced","rater01","excluded"
138,"original","rater01","poor"
138,"defaced","rater01","poor"
139,"original","rater01","good"
139,"defaced","rater01","good"
140,"original","rater01","excellent"
140,"defaced","rater01","excellent"
141,"original","rater01","excluded"
141,"defaced","rater01","excluded"
142,"original","rater01","good"
142,"defaced","rater01","excellent"
143,"original","rater01","good"
143,"defaced","rater01","good"
144,"original","rater01","excellent"
144,"defaced","rater01","excellent"
145,"original","rater01","good"
145,"defaced","rater01","good"
146,"original","rater01","excluded"
146,"defaced","rater01","excluded"
147,"original","rater01","poor"
147,"defaced","rater01","poor"
148,"original","rater01","excellent"
148,"defaced","rater01","excellent"
149,"original","rater01","excellent"
149,"defaced","rater01","excellent"
150,"original","rater01","good"
150,"defaced","rater01","good"
151,"original","rater01","excellent"
151,"defaced","rater01","excellent"
152,"original","rater01","poor"
152,"defaced","rater01","poor"
153,"original","rater01","excellent"
153,"defaced","rater01","excellent"
154,"original","rater01","good"
154,"defaced","rater01","good"
155,"original","rater01","excluded"
155,"defaced","rater01","excluded"
156,"original","rater01","excellent"
156,"defaced","rater01","excellent"
157,"original","rater01","good"
157,"defaced","rater01","good"
158,"original","rater01","excellent"
158,"defaced","rater01","excellent"
159,"original","rater01","excellent"
159,"defaced","rater01","excellent"
160,"original","rater01","excellent"
160,"defaced","rater01","excellent"
161,"original","rater01","excluded"
161,"defaced","rater01","excluded"
162,"original","rater01","poor"
162,"defaced","rater01","poor"
163,"original","rater01","poor"
163,"defaced","rater01","poor"
164,"original","rater01","poor"
164,"defaced","rater01","poor"
165,"original","rater01","excellent"
165,"defaced","rater01","excellent"
166,"original","rater01","poor"
166,"defaced","rater01","poor"
167,"original","rater01","poor"
167,"defaced","rater01","poor"
168,"original","rater01","excellent"
168,"defaced","rater01","excellent"
169,"original","rater01","poor"
169,"defaced","rater01","poor"
170,"original","rater01","excluded"
170,"defaced","rater01","poor"
171,"original","rater01","excluded"
171,"defaced","rater01","excluded"
172,"original","rater01","excellent"
172,"defaced","rater01","excellent"
173,"original","rater01","good"
173,"defaced","rater01","good"
174,"original","rater01","poor"
174,"defaced","rater01","poor"
175,"original","rater01","excellent"
175,"defaced","rater01","excellent"
176,"original","rater01","poor"
176,"defaced","rater01","poor"
177,"original","rater01","poor"
177,"defaced","rater01","poor"
178,"original","rater01","excellent"
178,"defaced","rater01","excellent"
179,"original","rater01","excellent"
179,"defaced","rater01","excellent"
180,"original","rater01","good"
180,"defaced","rater01","good"
181,"original","rater01","poor"
181,"defaced","rater01","poor"
182,"original","rater01","excluded"
182,"defaced","rater01","poor"
183,"original","rater01","poor"
183,"defaced","rater01","poor"
184,"original","rater01","excellent"
184,"defaced","rater01","excellent"
185,"original","rater01","excluded"
185,"defaced","rater01","excluded"
186,"original","rater01","good"
186,"defaced","rater01","good"
187,"original","rater01","excluded"
187,"defaced","rater01","excluded"
188,"original","rater01","excellent"
188,"defaced","rater01","excellent"
189,"original","rater01","good"
189,"defaced","rater01","good"
190,"original","rater01","good"
190,"defaced","rater01","good"
191,"original","rater01","excellent"
191,"defaced","rater01","excellent"
192,"original","rater01","good"
192,"defaced","rater01","good"
193,"original","rater01","excellent"
193,"defaced","rater01","excellent"
194,"original","rater01","excluded"
194,"defaced","rater01","excluded"
195,"original","rater01","excluded"
195,"defaced","rater01","excluded"
196,"original","rater01","excluded"
196,"defaced","rater01","excluded"
197,"original","rater01","good"
197,"defaced","rater01","good"
198,"original","rater01","poor"
198,"defaced","rater01","poor"
199,"original","rater01","poor"
199,"defaced","rater01","poor"
200,"original","rater01","excellent"
200,"defaced","rater01","excellent"
201,"original","rater01","excluded"
201,"defaced","rater01","excluded"
202,"original","rater01","excellent"
202,"defaced","rater01","excellent"
203,"original","rater01","excluded"
203,"defaced","rater01","excluded"
204,"original","rater01","excluded"
204,"defaced","rater01","excluded"
205,"original","rater01","excluded"
205,"defaced","rater01","excluded"
206,"original","rater01","excellent"
206,"defaced","rater01","excellent"
207,"original","rater01","poor"
207,"defaced","rater01","poor"
208,"original","rater01","poor"
208,"defaced","rater01","poor"
209,"original","rater01","excellent"
209,"defaced","rater01","excellent"
210,"original","rater01","poor"
210,"defaced","rater01","poor"
211,"original","rater01","poor"
211,"defaced","rater01","poor"
212,"original","rater01","poor"
212,"defaced","rater01","poor"
213,"original","rater01","excluded"
213,"defaced","rater01","excluded"
214,"original","rater01","good"
214,"defaced","rater01","good"
215,"original","rater01","excluded"
215,"defaced","rater01","excluded"
216,"original","rater01","excluded"
216,"defaced","rater01","excluded"
217,"original","rater01","excellent"
217,"defaced","rater01","excellent"
218,"original","rater01","good"
218,"defaced","rater01","good"
219,"original","rater01","excluded"
219,"defaced","rater01","excluded"
220,"original","rater01","poor"
220,"defaced","rater01","poor"
221,"original","rater01","good"
221,"defaced","rater01","good"
222,"original","rater01","excluded"
222,"defaced","rater01","excluded"
223,"original","rater01","excellent"
223,"defaced","rater01","excellent"
224,"original","rater01","excellent"
224,"defaced","rater01","excellent"
225,"original","rater01","excellent"
225,"defaced","rater01","excellent"
226,"original","rater01","good"
226,"defaced","rater01","good"
227,"original","rater01","excluded"
227,"defaced","rater01","excluded"
228,"original","rater01","good"
228,"defaced","rater01","good"
229,"original","rater01","poor"
229,"defaced","rater01","poor"
230,"original","rater01","excluded"
230,"defaced","rater01","excluded"
231,"original","rater01","poor"
231,"defaced","rater01","poor"
232,"original","rater01","excluded"
232,"defaced","rater01","excluded"
233,"original","rater01","excellent"
233,"defaced","rater01","excellent"
234,"original","rater01","good"
234,"defaced","rater01","good"
235,"original","rater01","good"
235,"defaced","rater01","good"
236,"original","rater01","excluded"
236,"defaced","rater01","excluded"
237,"original","rater01","excellent"
237,"defaced","rater01","excellent"
238,"original","rater01","good"
238,"defaced","rater01","good"
239,"original","rater01","excellent"
239,"defaced","rater01","excellent"
240,"original","rater01","excluded"
240,"defaced","rater01","excluded"
241,"original","rater01","excluded"
241,"defaced","rater01","excluded"
242,"original","rater01","excluded"
242,"defaced","rater01","excluded"
243,"original","rater01","excellent"
243,"defaced","rater01","excellent"
244,"original","rater01","excluded"
244,"defaced","rater01","excluded"
245,"original","rater01","good"
245,"defaced","rater01","good"
246,"original","rater01","poor"
246,"defaced","rater01","poor"
247,"original","rater01","good"
247,"defaced","rater01","good"
248,"original","rater01","good"
248,"defaced","rater01","good"
249,"original","rater01","excluded"
249,"defaced","rater01","excluded"
250,"original","rater01","excellent"
250,"defaced","rater01","excellent"
251,"original","rater01","excellent"
251,"defaced","rater01","excellent"
252,"original","rater01","poor"
252,"defaced","rater01","poor"
253,"original","rater01","poor"
253,"defaced","rater01","poor"
254,"original","rater01","excluded"
254,"defaced","rater01","excluded"
255,"original","rater01","good"
255,"defaced","rater01","good"
256,"original","rater01","excluded"
256,"defaced","rater01","excluded"
257,"original","rater01","excellent"
257,"defaced","rater01","excellent"
258,"original","rater01","excellent"
258,"defaced","rater01","excellent"
259,"original","rater01","excellent"
259,"defaced","rater01","excellent"
260,"original","rater01","poor"
260,"defaced","rater01","poor"
261,"original","rater01","excellent"
261,"defaced","rater01","excellent"
262,"original","rater01","poor"
262,"defaced","rater01","poor"
263,"original","rater01","excluded"
263,"defaced","rater01","excluded"
264,"original","rater01","excellent"
264,"defaced","rater01","excellent"
265,"original","rater01","good"
265,"defaced","rater01","good"
266,"original","rater01","excluded"
266,"defaced","rater01","excluded"
267,"original","rater01","poor"
267,"defaced","rater01","poor"
268,"original","rater01","good"
268,"defaced","rater01","good"
269,"original","rater01","good"
269,"defaced","rater01","excellent"
270,"original","rater01","excellent"
270,"defaced","rater01","excellent"
271,"original","rater01","poor"
271,"defaced","rater01","poor"
272,"original","rater01","good"
272,"defaced","rater01","good"
273,"original","rater01","good"
273,"defaced","rater01","good"
274,"original","rater01","excellent"
274,"defaced","rater01","excellent"
275,"original","rater01","excellent"
275,"defaced","rater01","excellent"
276,"original","rater01","excluded"
276,"defaced","rater01","excluded"
277,"original","rater01","poor"
277,"defaced","rater01","poor"
278,"original","rater01","excellent"
278,"defaced","rater01","excellent"
279,"original","rater01","excluded"
279,"defaced","rater01","excluded"
280,"original","rater01","excluded"
280,"defaced","rater01","excluded"
281,"original","rater01","poor"
281,"defaced","rater01","poor"
282,"original","rater01","excellent"
282,"defaced","rater01","excellent"
283,"original","rater01","excluded"
283,"defaced","rater01","excluded"
284,"original","rater01","poor"
284,"defaced","rater01","poor"
285,"original","rater01","poor"
285,"defaced","rater01","poor"
286,"original","rater01","excellent"
286,"defaced","rater01","excellent"
287,"original","rater01","excellent"
287,"defaced","rater01","excellent"
288,"original","rater01","poor"
288,"defaced","rater01","poor"
289,"original","rater01","excellent"
289,"defaced","rater01","excellent"
290,"original","rater01","excellent"
290,"defaced","rater01","excellent"
291,"original","rater01","excellent"
291,"defaced","rater01","excellent"
292,"original","rater01","good"
292,"defaced","rater01","good"
293,"original","rater01","good"
293,"defaced","rater01","good"
294,"original","rater01","excluded"
294,"defaced","rater01","excluded"
295,"original","rater01","excluded"
295,"defaced","rater01","excluded"
296,"original","rater01","good"
296,"defaced","rater01","good"
297,"original","rater01","excellent"
297,"defaced","rater01","excellent"
298,"original","rater01","excluded"
298,"defaced","rater01","excluded"
299,"original","rater01","excluded"
299,"defaced","rater01","excluded"
300,"original","rater01","poor"
300,"defaced","rater01","poor"
301,"original","rater01","excellent"
301,"defaced","rater01","excellent"
302,"original","rater01","good"
302,"defaced","rater01","good"
303,"original","rater01","excellent"
303,"defaced","rater01","excellent"
304,"original","rater01","poor"
304,"defaced","rater01","poor"
305,"original","rater01","excluded"
305,"defaced","rater01","excluded"
306,"original","rater01","excellent"
306,"defaced","rater01","excellent"
307,"original","rater01","poor"
307,"defaced","rater01","poor"
308,"original","rater01","excellent"
308,"defaced","rater01","excellent"
309,"original","rater01","excluded"
309,"defaced","rater01","excluded"
310,"original","rater01","good"
310,"defaced","rater01","good"
311,"original","rater01","excluded"
311,"defaced","rater01","excluded"
312,"original","rater01","excellent"
312,"defaced","rater01","excellent"
313,"original","rater01","excluded"
313,"defaced","rater01","poor"
314,"original","rater01","good"
314,"defaced","rater01","good"
315,"original","rater01","excellent"
315,"defaced","rater01","excellent"
316,"original","rater01","good"
316,"defaced","rater01","good"
317,"original","rater01","excellent"
317,"defaced","rater01","excellent"
318,"original","rater01","poor"
318,"defaced","rater01","poor"
319,"original","rater01","excellent"
319,"defaced","rater01","excellent"
320,"original","rater01","excellent"
320,"defaced","rater01","excellent"
321,"original","rater01","excluded"
321,"defaced","rater01","excluded"
322,"original","rater01","excluded"
322,"defaced","rater01","excluded"
323,"original","rater01","excellent"
323,"defaced","rater01","excellent"
324,"original","rater01","excellent"
324,"defaced","rater01","excellent"
325,"original","rater01","excellent"
325,"defaced","rater01","excellent"
326,"original","rater01","excluded"
326,"defaced","rater01","excluded"
327,"original","rater01","excluded"
327,"defaced","rater01","excluded"
328,"original","rater01","poor"
328,"defaced","rater01","poor"
329,"original","rater01","poor"
329,"defaced","rater01","poor"
330,"original","rater01","poor"
330,"defaced","rater01","poor"
331,"original","rater01","excluded"
331,"defaced","rater01","excluded"
332,"original","rater01","poor"
332,"defaced","rater01","poor"
333,"original","rater01","excellent"
333,"defaced","rater01","excellent"
334,"original","rater01","good"
334,"defaced","rater01","good"
335,"original","rater01","excellent"
335,"defaced","rater01","excellent"
336,"original","rater01","excellent"
336,"defaced","rater01","excellent"
337,"original","rater01","excellent"
337,"defaced","rater01","excellent"
338,"original","rater01","excellent"
338,"defaced","rater01","excellent"
339,"original","rater01","excellent"
339,"defaced","rater01","excellent"
340,"original","rater01","good"
340,"defaced","rater01","good"
341,"original","rater01","excellent"
341,"defaced","rater01","excellent"
342,"original","rater01","poor"
342,"defaced","rater01","poor"
343,"original","rater01","excluded"
343,"defaced","rater01","excluded"
344,"original","rater01","good"
344,"defaced","rater01","excellent"
345,"original","rater01","excluded"
345,"defaced","rater01","excluded"
346,"original","rater01","excluded"
346,"defaced","rater01","excluded"
347,"original","rater01","poor"
347,"defaced","rater01","poor"
348,"original","rater01","excellent"
348,"defaced","rater01","excellent"
349,"original","rater01","good"
349,"defaced","rater01","good"
350,"original","rater01","excluded"
350,"defaced","rater01","excluded"
351,"original","rater01","excellent"
351,"defaced","rater01","excellent"
352,"original","rater01","good"
352,"defaced","rater01","good"
353,"original","rater01","good"
353,"defaced","rater01","good"
354,"original","rater01","excluded"
354,"defaced","rater01","excluded"
355,"original","rater01","poor"
355,"defaced","rater01","good"
356,"original","rater01","good"
356,"defaced","rater01","good"
357,"original","rater01","poor"
357,"defaced","rater01","poor"
358,"original","rater01","excellent"
358,"defaced","rater01","excellent"
359,"original","rater01","excluded"
359,"defaced","rater01","excluded"
360,"original","rater01","excluded"
360,"defaced","rater01","excluded"
361,"original","rater01","excluded"
361,"defaced","rater01","excluded"
362,"original","rater01","poor"
362,"defaced","rater01","poor"
363,"original","rater01","excluded"
363,"defaced","rater01","excluded"
364,"original","rater01","excellent"
364,"defaced","rater01","excellent"
365,"original","rater01","excluded"
365,"defaced","rater01","excluded"
366,"original","rater01","poor"
366,"defaced","rater01","poor"
367,"original","rater01","excellent"
367,"defaced","rater01","excellent"
368,"original","rater01","good"
368,"defaced","rater01","good"
369,"original","rater01","excluded"
369,"defaced","rater01","excluded"
370,"original","rater01","poor"
370,"defaced","rater01","poor"
371,"original","rater01","excellent"
371,"defaced","rater01","excellent"
372,"original","rater01","excellent"
372,"defaced","rater01","excellent"
373,"original","rater01","good"
373,"defaced","rater01","good"
374,"original","rater01","excellent"
374,"defaced","rater01","excellent"
375,"original","rater01","excellent"
375,"defaced","rater01","excellent"
376,"original","rater01","poor"
376,"defaced","rater01","poor"
377,"original","rater01","good"
377,"defaced","rater01","good"
378,"original","rater01","excellent"
378,"defaced","rater01","excellent"
379,"original","rater01","excluded"
379,"defaced","rater01","excluded"
380,"original","rater01","poor"
380,"defaced","rater01","poor"
381,"original","rater01","excellent"
381,"defaced","rater01","excellent"
382,"original","rater01","excellent"
382,"defaced","rater01","excellent"
383,"original","rater01","poor"
383,"defaced","rater01","poor"
384,"original","rater01","good"
384,"defaced","rater01","good"
385,"original","rater01","good"
385,"defaced","rater01","good"
386,"original","rater01","good"
386,"defaced","rater01","good"
387,"original","rater01","poor"
387,"defaced","rater01","poor"
388,"original","rater01","good"
388,"defaced","rater01","good"
389,"original","rater01","poor"
389,"defaced","rater01","poor"
390,"original","rater01","poor"
390,"defaced","rater01","poor"
391,"original","rater01","good"
391,"defaced","rater01","good"
392,"original","rater01","excellent"
392,"defaced","rater01","excellent"
393,"original","rater01","poor"
393,"defaced","rater01","poor"
394,"original","rater01","poor"
394,"defaced","rater01","poor"
395,"original","rater01","poor"
395,"defaced","rater01","poor"
396,"original","rater01","poor"
396,"defaced","rater01","poor"
397,"original","rater01","poor"
397,"defaced","rater01","poor"
398,"original","rater01","poor"
398,"defaced","rater01","poor"
399,"original","rater01","excluded"
399,"defaced","rater01","excluded"
400,"original","rater01","poor"
400,"defaced","rater01","poor"
401,"original","rater01","poor"
401,"defaced","rater01","poor"
402,"original","rater01","excluded"
402,"defaced","rater01","excluded"
403,"original","rater01","good"
403,"defaced","rater01","good"
404,"original","rater01","excluded"
404,"defaced","rater01","excluded"
405,"original","rater01","good"
405,"defaced","rater01","good"
406,"original","rater01","poor"
406,"defaced","rater01","poor"
407,"original","rater01","good"
407,"defaced","rater01","good"
408,"original","rater01","excluded"
408,"defaced","rater01","excluded"
409,"original","rater01","poor"
409,"defaced","rater01","poor"
410,"original","rater01","good"
410,"defaced","rater01","good"
411,"original","rater01","excluded"
411,"defaced","rater01","excluded"
412,"original","rater01","good"
412,"defaced","rater01","good"
413,"original","rater01","excluded"
413,"defaced","rater01","excluded"
414,"original","rater01","excluded"
414,"defaced","rater01","excluded"
415,"original","rater01","excellent"
415,"defaced","rater01","excellent"
416,"original","rater01","excluded"
416,"defaced","rater01","excluded"
417,"original","rater01","good"
417,"defaced","rater01","good"
418,"original","rater01","poor"
418,"defaced","rater01","poor"
419,"original","rater01","good"
419,"defaced","rater01","good"
420,"original","rater01","excluded"
420,"defaced","rater01","excluded"
421,"original","rater01","good"
421,"defaced","rater01","good"
422,"original","rater01","good"
422,"defaced","rater01","good"
423,"original","rater01","good"
423,"defaced","rater01","good"
424,"original","rater01","good"
424,"defaced","rater01","good"
425,"original","rater01","excluded"
425,"defaced","rater01","excluded"
426,"original","rater01","poor"
426,"defaced","rater01","poor"
427,"original","rater01","poor"
427,"defaced","rater01","poor"
428,"original","rater01","excellent"
428,"defaced","rater01","excellent"
429,"original","rater01","excellent"
429,"defaced","rater01","excellent"
430,"original","rater01","excellent"
430,"defaced","rater01","excellent"
431,"original","rater01","poor"
431,"defaced","rater01","poor"
432,"original","rater01","poor"
432,"defaced","rater01","poor"
433,"original","rater01","excellent"
433,"defaced","rater01","excellent"
434,"original","rater01","poor"
434,"defaced","rater01","poor"
435,"original","rater01","good"
435,"defaced","rater01","good"
436,"original","rater01","poor"
436,"defaced","rater01","good"
437,"original","rater01","excluded"
437,"defaced","rater01","excluded"
438,"original","rater01","good"
438,"defaced","rater01","good"
439,"original","rater01","excellent"
439,"defaced","rater01","excellent"
440,"original","rater01","excluded"
440,"defaced","rater01","excluded"
441,"original","rater01","excluded"
441,"defaced","rater01","excluded"
442,"original","rater01","good"
442,"defaced","rater01","good"
443,"original","rater01","good"
443,"defaced","rater01","good"
444,"original","rater01","excellent"
444,"defaced","rater01","excellent"
445,"original","rater01","poor"
445,"defaced","rater01","poor"
446,"original","rater01","excluded"
446,"defaced","rater01","excluded"
447,"original","rater01","excellent"
447,"defaced","rater01","excellent"
448,"original","rater01","poor"
448,"defaced","rater01","poor"
449,"original","rater01","poor"
449,"defaced","rater01","poor"
450,"original","rater01","excluded"
450,"defaced","rater01","excluded"
451,"original","rater01","good"
451,"defaced","rater01","good"
452,"original","rater01","poor"
452,"defaced","rater01","poor"
453,"original","rater01","good"
453,"defaced","rater01","good"
454,"original","rater01","good"
454,"defaced","rater01","good"
455,"original","rater01","excellent"
455,"defaced","rater01","excellent"
456,"original","rater01","good"
456,"defaced","rater01","good"
457,"original","rater01","excellent"
457,"defaced","rater01","excellent"
458,"original","rater01","good"
458,"defaced","rater01","good"
459,"original","rater01","excluded"
459,"defaced","rater01","excluded"
460,"original","rater01","excellent"
460,"defaced","rater01","excellent"
461,"original","rater01","excluded"
461,"defaced","rater01","excluded"
462,"original","rater01","excellent"
462,"defaced","rater01","excellent"
463,"original","rater01","good"
463,"defaced","rater01","good"
464,"original","rater01","good"
464,"defaced","rater01","good"
465,"original","rater01","poor"
465,"defaced","rater01","poor"
466,"original","rater01","poor"
466,"defaced","rater01","poor"
467,"original","rater01","poor"
467,"defaced","rater01","poor"
468,"original","rater01","good"
468,"defaced","rater01","good"
469,"original","rater01","good"
469,"defaced","rater01","good"
470,"original","rater01","excluded"
470,"defaced","rater01","excluded"
471,"original","rater01","good"
471,"defaced","rater01","good"
472,"original","rater01","excellent"
472,"defaced","rater01","excellent"
473,"original","rater01","poor"
473,"defaced","rater01","poor"
474,"original","rater01","excluded"
474,"defaced","rater01","excluded"
475,"original","rater01","good"
475,"defaced","rater01","good"
476,"original","rater01","good"
476,"defaced","rater01","good"
477,"original","rater01","poor"
477,"defaced","rater01","poor"
478,"original","rater01","excluded"
478,"defaced","rater01","poor"
479,"original","rater01","good"
479,"defaced","rater01","good"
480,"original","rater01","excellent"
480,"defaced","rater01","excellent"
481,"original","rater01","excellent"
481,"defaced","rater01","excellent"
482,"original","rater01","poor"
482,"defaced","rater01","poor"
483,"original","rater01","good"
483,"defaced","rater01","good"
484,"original","rater01","excluded"
484,"defaced","rater01","excluded"
485,"original","rater01","good"
485,"defaced","rater01","good"
486,"original","rater01","good"
486,"defaced","rater01","good"
487,"original","rater01","poor"
487,"defaced","rater01","poor"
488,"original","rater01","poor"
488,"defaced","rater01","poor"
489,"original","rater01","excellent"
489,"defaced","rater01","excellent"
490,"original","rater01","poor"
490,"defaced","rater01","poor"
