randomized_id	rater_id	dataset	rating	time_sec	artifacts	confidence	comments	defaced	subject
sub-1221_T1w	rater_02	IXI dataset - MRIQC derivatives	2.85	97.831	"[""noise-local"",""wrap-around"",""processing""]"	2.8	a bit short with FoV frontal but should be ok	0	092
sub-0752_T1w	rater_02	IXI dataset - MRIQC derivatives	3.15	67.015	"[""processing""]"	3.5		1	127
sub-0336_T1w	rater_02	IXI dataset - MRIQC derivatives	3.55	47.351	[]	3.5		1	385
sub-0459_T1w	rater_02	IXI dataset - MRIQC derivatives	2.95	77.456	"[""wrap-around"",""uncategorized""]"	3.3	FoV a bit short in occipital, Artefact in the background	0	440
sub-0775_T1w	rater_02	IXI dataset - MRIQC derivatives	3.4	40.714	[]	3.5		1	634
sub-1130_T1w	rater_02	IXI dataset - MRIQC derivatives	2.7	75.811	"[""noise-local"",""inu""]"	3.5		1	128
sub-0656_T1w	rater_02	IXI dataset - MRIQC derivatives	3.25	48.472	"[""processing""]"	3.5		1	059
sub-0270_T1w	rater_02	IXI dataset - MRIQC derivatives	2.8	57.819	"[""inu"",""processing"",""uncategorized""]"	2.35	a bit of artefact  in the background	0	276
sub-0152_T1w	rater_03	IXI dataset - MRIQC derivatives	3.55	87.335	[]	3.2		1	072
sub-1051_T1w	rater_03	IXI dataset - MRIQC derivatives	3.7	90.109	"[""eye-spillover""]"	2.6		0	354
sub-1186_T1w	rater_03	IXI dataset - MRIQC derivatives	3.3	57.132	"[""eye-spillover"",""field-variation""]"	2.8		0	205
sub-0951_T1w	rater_03	IXI dataset - MRIQC derivatives	3.35	56.134	"[""noneye-spillover""]"	3.5		1	446
sub-0902_T1w	rater_03	IXI dataset - MRIQC derivatives	3.3	25.728	"[""noneye-spillover""]"	3.1		1	248
sub-0250_T1w	rater_03	IXI dataset - MRIQC derivatives	3.45	49.698	"[""eye-spillover""]"	2.95		0	437
sub-0394_T1w	rater_03	IXI dataset - MRIQC derivatives	3.45	61.316	"[""eye-spillover"",""noneye-spillover""]"	3.0		1	600
sub-0924_T1w	rater_03	IXI dataset - MRIQC derivatives	3.0	72.543	"[""eye-spillover"",""noneye-spillover"",""noise-local""]"	3.5		0	614
sub-0472_T1w	rater_03	IXI dataset - MRIQC derivatives	3.4	64.963	"[""eye-spillover""]"	2.95		0	525
sub-0328_T1w	rater_03	IXI dataset - MRIQC derivatives	3.95	115.024	"[""inu""]"	2.45		1	254
sub-0661_T1w	rater_03	IXI dataset - MRIQC derivatives	3.4	92.792	"[""noise-local"",""wrap-around""]"	3.35		1	335
sub-0050_T1w	rater_03	IXI dataset - MRIQC derivatives	2.1	110.341	"[""noneye-spillover"",""uncategorized""]"	1.8	Blurry around 95ish + low contrast GM/WM	0	383
sub-1221_T1w	rater_03	IXI dataset - MRIQC derivatives	3.0	72.873	"[""eye-spillover"",""noneye-spillover""]"	2.45		0	092
sub-0752_T1w	rater_03	IXI dataset - MRIQC derivatives	2.85	65.946	"[""eye-spillover"",""noneye-spillover"",""inu""]"	1.65		1	127
sub-0336_T1w	rater_03	IXI dataset - MRIQC derivatives	3.1	79.785	"[""noneye-spillover"",""noise-local"",""inu""]"	2.35		1	385
sub-0459_T1w	rater_03	IXI dataset - MRIQC derivatives	3.1	55.182	"[""eye-spillover"",""noneye-spillover"",""inu""]"	2.45		0	440
sub-0775_T1w	rater_03	IXI dataset - MRIQC derivatives	3.55	129.072	"[""eye-spillover"",""inu""]"	3.1		1	634
sub-1130_T1w	rater_03	IXI dataset - MRIQC derivatives	3.45	65.386	"[""noneye-spillover""]"	2.5		1	128
sub-0656_T1w	rater_03	IXI dataset - MRIQC derivatives	3.55	50.209	"[""noneye-spillover""]"	2.3		1	059
sub-0270_T1w	rater_03	IXI dataset - MRIQC derivatives	3.7	42.1	"[""eye-spillover""]"	3.5		0	276
sub-0086_T1w	rater_03	IXI dataset - MRIQC derivatives	3.55	59.847	"[""eye-spillover"",""noneye-spillover""]"	3.5		0	217
sub-0205_T1w	rater_03	IXI dataset - MRIQC derivatives	1.75	76.989	"[""head-motion"",""eye-spillover"",""noneye-spillover"",""noise-global"",""inu""]"	3.5		0	175
sub-1163_T1w	rater_03	IXI dataset - MRIQC derivatives	2.7	102.12299999999999	"[""noise-local""]"	2.65	blurry	1	257
sub-0362_T1w	rater_03	IXI dataset - MRIQC derivatives	3.1	22.467	"[""noneye-spillover"",""noise-local"",""inu""]"	2.2		1	248
sub-0791_T1w	rater_03	IXI dataset - MRIQC derivatives	3.0	101.322	"[""eye-spillover"",""noneye-spillover"",""noise-local""]"	2.4		1	385
sub-0304_T1w	rater_03	IXI dataset - MRIQC derivatives	3.45	49.282	"[""eye-spillover"",""noise-local""]"	3.5		1	280
sub-0869_T1w	rater_03	IXI dataset - MRIQC derivatives	2.85	48.323	"[""eye-spillover"",""noneye-spillover"",""noise-local"",""inu""]"	3.15		0	338
sub-0101_T1w	rater_03	IXI dataset - MRIQC derivatives	3.35	107.137	"[""noise-local"",""inu""]"	2.45		0	248
sub-0279_T1w	rater_03	IXI dataset - MRIQC derivatives	3.45	28.767	"[""eye-spillover"",""noneye-spillover""]"	3.25		0	012
sub-0830_T1w	rater_03	IXI dataset - MRIQC derivatives	3.5	58.264	"[""eye-spillover""]"	2.1		0	481
sub-0980_T1w	rater_03	IXI dataset - MRIQC derivatives	2.65	31.942	"[""eye-spillover"",""noneye-spillover"",""noise-local"",""inu""]"	3.5		0	508
sub-0254_T1w	rater_03	IXI dataset - MRIQC derivatives	2.9	37.722	"[""eye-spillover"",""noneye-spillover"",""inu""]"	1.95		0	605
sub-0618_T1w	rater_03	IXI dataset - MRIQC derivatives	3.1	60.673	"[""eye-spillover"",""noneye-spillover""]"	3.5		0	329
sub-0116_T1w	rater_03	IXI dataset - MRIQC derivatives	2.9	36.567	"[""eye-spillover"",""noneye-spillover""]"	2.45		1	252
sub-0185_T1w	rater_03	IXI dataset - MRIQC derivatives	3.3	36.521	"[""eye-spillover"",""noneye-spillover"",""inu""]"	2.4		0	034
sub-1086_T1w	rater_03	IXI dataset - MRIQC derivatives	2.7	39.847	"[""eye-spillover"",""noneye-spillover"",""noise-local"",""inu""]"	2.75		1	167
sub-0694_T1w	rater_03	IXI dataset - MRIQC derivatives	3.55	44.628	[]	1.7		1	438
sub-0895_T1w	rater_03	IXI dataset - MRIQC derivatives	3.65	42.197	"[""eye-spillover"",""inu""]"	3.5		1	150
sub-0180_T1w	rater_03	IXI dataset - MRIQC derivatives	2.75	51.049	"[""eye-spillover"",""inu""]"	3.5		1	525
sub-0934_T1w	rater_03	IXI dataset - MRIQC derivatives	3.6	47.713	"[""eye-spillover"",""noneye-spillover""]"	3.05		0	259
sub-1199_T1w	rater_03	IXI dataset - MRIQC derivatives	3.0	81.382	"[""eye-spillover"",""noneye-spillover""]"	3.5		1	216
sub-0261_T1w	rater_03	IXI dataset - MRIQC derivatives	2.6	48.894	"[""eye-spillover"",""noneye-spillover"",""noise-local""]"	3.5		1	079
sub-0846_T1w	rater_03	IXI dataset - MRIQC derivatives	3.3	64.399	"[""head-motion"",""noneye-spillover""]"	3.5		1	072
sub-0795_T1w	rater_03	IXI dataset - MRIQC derivatives	3.3	83.007	"[""eye-spillover"",""noneye-spillover"",""inu""]"	3.5		1	611
sub-0293_T1w	rater_03	IXI dataset - MRIQC derivatives	3.1	42.637	"[""eye-spillover"",""inu""]"	3.5		1	610
sub-1126_T1w	rater_03	IXI dataset - MRIQC derivatives	3.4	55.841	"[""noneye-spillover""]"	3.5		0	465
sub-0286_T1w	rater_03	IXI dataset - MRIQC derivatives	3.65	28.777	"[""eye-spillover"",""noise-local""]"	2.95		0	211
sub-1131_T1w	rater_03	IXI dataset - MRIQC derivatives	3.75	48.15	"[""noneye-spillover""]"	3.5		0	522
sub-0062_T1w	rater_03	IXI dataset - MRIQC derivatives	3.7	46.061	"[""noise-local""]"	2.75		0	613
sub-1123_T1w	rater_03	IXI dataset - MRIQC derivatives	3.05	54.775	"[""eye-spillover"",""noise-local""]"	3.5		1	201
sub-1125_T1w	rater_03	IXI dataset - MRIQC derivatives	3.35	33.614	"[""eye-spillover"",""noneye-spillover"",""noise-local""]"	3.5		1	034
sub-0152_T1w	rater_01	IXI dataset - MRIQC derivatives	2.6	74.293	"[""head-motion""]"	3.5		1	072
sub-1051_T1w	rater_01	IXI dataset - MRIQC derivatives	3.05	94.532	"[""uncategorized""]"	3.5	vertical stripes in ventricles	0	354
sub-1186_T1w	rater_01	IXI dataset - MRIQC derivatives	3.55	75.806	[]	3.5		0	205
sub-0951_T1w	rater_01	IXI dataset - MRIQC derivatives	3.4	64.593	"[""eye-spillover""]"	3.5		1	446
sub-0902_T1w	rater_01	IXI dataset - MRIQC derivatives	2.7	71.686	"[""eye-spillover"",""uncategorized""]"	3.5	low contrast near sinus	1	248
sub-0250_T1w	rater_01	IXI dataset - MRIQC derivatives	2.95	60.343	"[""uncategorized""]"	3.5	artifact near eyes region in background image	0	437
sub-0394_T1w	rater_01	IXI dataset - MRIQC derivatives	2.55	206.055	"[""eye-spillover"",""uncategorized""]"	3.5	light motion(?) in eyes regions (slides 57-61)	1	600
sub-0924_T1w	rater_01	IXI dataset - MRIQC derivatives	3.5	32.426	[]	3.5		0	614
sub-0472_T1w	rater_01	IXI dataset - MRIQC derivatives	2.65	56.233	"[""eye-spillover"",""noneye-spillover""]"	3.5		0	525
sub-0328_T1w	rater_01	IXI dataset - MRIQC derivatives	2.95	83.375	[]	3.5		1	254
sub-0661_T1w	rater_01	IXI dataset - MRIQC derivatives	3.25	127.037	"[""ghost-aliasing""]"	3.5	aliasing outside the brain (seen in BG image) - posterior	1	335
sub-0050_T1w	rater_01	IXI dataset - MRIQC derivatives	2.95	114.576	"[""head-motion""]"	3.5	light motion, frontal near eyes region	0	383
sub-1221_T1w	rater_01	IXI dataset - MRIQC derivatives	3.65	44.775	[]	3.5		0	092
sub-0752_T1w	rater_01	IXI dataset - MRIQC derivatives	3.3	95.482	"[""inu""]"	3.5		1	127
sub-0336_T1w	rater_01	IXI dataset - MRIQC derivatives	3.55	57.679	[]	3.5		1	385
sub-0459_T1w	rater_01	IXI dataset - MRIQC derivatives	3.25	75.176	"[""uncategorized""]"	3.5	artifact in BG image	0	440
sub-0775_T1w	rater_01	IXI dataset - MRIQC derivatives	2.85	34.828	"[""head-motion""]"	3.5		1	634
sub-1130_T1w	rater_01	IXI dataset - MRIQC derivatives	3.4	49.225	"[""inu""]"	3.5	subtle IIH	1	128
sub-0656_T1w	rater_01	IXI dataset - MRIQC derivatives	2.95	64.187	"[""eye-spillover""]"	3.5		1	059
sub-0270_T1w	rater_01	IXI dataset - MRIQC derivatives	3.0	53.313	"[""uncategorized""]"	3.5	artifact in eyes region in BG image	0	276
sub-0086_T1w	rater_01	IXI dataset - MRIQC derivatives	3.0	57.71	"[""head-motion""]"	3.5	motion in temporal regions , artifacts in temporal regions in BG image	0	217
sub-0205_T1w	rater_01	IXI dataset - MRIQC derivatives	1.45	59.465	"[""head-motion"",""noise-global"",""uncategorized""]"	3.5	extra-large ventricles	0	175
sub-1163_T1w	rater_01	IXI dataset - MRIQC derivatives	2.75	123.292	"[""wrap-around"",""uncategorized""]"	3.5	artifact in frontal regions In BG image, weird FoV	1	257
sub-0362_T1w	rater_01	IXI dataset - MRIQC derivatives	3.55	37.661	[]	3.5		1	248
sub-0791_T1w	rater_01	IXI dataset - MRIQC derivatives	3.35	73.86	"[""inu""]"	3.5	subtle IIH and motion	1	385
sub-0304_T1w	rater_01	IXI dataset - MRIQC derivatives	3.2	45.618	"[""eye-spillover"",""noneye-spillover""]"	3.5		1	280
sub-0869_T1w	rater_01	IXI dataset - MRIQC derivatives	2.3	69.927	"[""head-motion"",""eye-spillover"",""ghost-other"",""uncategorized""]"	3.5	artifacts in BG image	0	338
sub-0101_T1w	rater_01	IXI dataset - MRIQC derivatives	3.4	47.618	"[""head-motion"",""inu""]"	3.5		0	248
sub-0279_T1w	rater_01	IXI dataset - MRIQC derivatives	3.4	39.963	"[""inu""]"	3.5		0	012
sub-0830_T1w	rater_01	IXI dataset - MRIQC derivatives	3.55	61.089	[]	3.5	artifacts in BG image outside the brain	0	481
sub-0980_T1w	rater_01	IXI dataset - MRIQC derivatives	3.45	79.182	"[""head-motion"",""inu""]"	3.5	subtle IIH	0	508
sub-0254_T1w	rater_01	IXI dataset - MRIQC derivatives	2.85	36.067	"[""head-motion""]"	3.5		0	605
sub-0618_T1w	rater_01	IXI dataset - MRIQC derivatives	3.45	74.427	"[""inu""]"	3.5	artefact in BG image	0	329
sub-0116_T1w	rater_01	IXI dataset - MRIQC derivatives	2.9	71.94	"[""head-motion"",""ghost-other"",""inu""]"	3.5		1	252
sub-0152_T1w	rater_04	IXI dataset - MRIQC derivatives	2.4	279.016	"[""head-motion""]"	1.6	I see a bit of motion effects in slices 104-112 approx.	1	072
sub-1051_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	239.974	[]	3.5	i didn't touch the confidence slider, is it that value by default? (more than 0.5)	0	354
sub-1186_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	69.749	[]	3.5		0	205
sub-0951_T1w	rater_04	IXI dataset - MRIQC derivatives	3.95	63.064	[]	3.5		1	446
sub-0902_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	145.252	[]	3.5		1	248
sub-0250_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	277.327	[]	3.5		0	437
sub-0394_T1w	rater_04	IXI dataset - MRIQC derivatives	3.0	131.18	[]	1.7	I see it more blurry compared to others	1	600
sub-0924_T1w	rater_04	IXI dataset - MRIQC derivatives	3.4	124.633	[]	3.5		0	614
sub-0472_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	101.099	[]	3.5		0	525
sub-0328_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	107.579	[]	3.5		1	254
sub-0661_T1w	rater_04	IXI dataset - MRIQC derivatives	3.9	101.006	[]	3.5		1	335
sub-0050_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	253.53	"[""head-motion""]"	3.5	head motion in slice 46 sagittal view (I don't see it in axial)	0	383
sub-1221_T1w	rater_04	IXI dataset - MRIQC derivatives	3.95	48.119	[]	3.5		0	092
sub-0752_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	85.311	[]	3.5	a bit blurry?	1	127
sub-0336_T1w	rater_04	IXI dataset - MRIQC derivatives	4.0	76.349	[]	3.5		1	385
sub-0459_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	70.251	"[""inu""]"	3.5	possible INU in 96-98 (upper left part of the brain)?, would be good to see 97	0	440
sub-0775_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	213.211	"[""head-motion""]"	3.5	motion on sagittal slices 33, 50 (less noticeable), 67, not appreciated in axial view	1	634
sub-1130_T1w	rater_04	IXI dataset - MRIQC derivatives	3.9	69.821	[]	3.5		1	128
sub-0656_T1w	rater_04	IXI dataset - MRIQC derivatives	3.95	69.644	[]	3.5		1	059
sub-0270_T1w	rater_04	IXI dataset - MRIQC derivatives	3.9	59.601	[]	3.5		0	276
sub-0086_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	78.818	[]	3.5		0	217
sub-0205_T1w	rater_04	IXI dataset - MRIQC derivatives	2.95	189.621	"[""head-motion""]"	3.5	bit of motion in 109-114 (axial), more clear in sagittal 48, 65, 82 (not too much), blurry	0	175
sub-1163_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	87.242	[]	3.5		1	257
sub-0362_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	76.047	[]	3.5		1	248
sub-0791_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	256.615	[]	3.5		1	385
sub-0304_T1w	rater_04	IXI dataset - MRIQC derivatives	3.75	147.816	[]	3.5		1	280
sub-0869_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	189.048	"[""ghost-aliasing""]"	3.5	aliasing ghost in background images around slice 202	0	338
sub-0101_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	88.657	[]	3.5		0	248
sub-0279_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	129.391	[]	3.5		0	012
sub-0830_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	119.144	[]	3.5	INU in 80-81? left part. It's difficult to detect INU...	0	481
sub-0980_T1w	rater_04	IXI dataset - MRIQC derivatives	3.95	575.195	[]	3.5		0	508
sub-0254_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	481.355	"[""head-motion""]"	3.5	motion in sagittal 46	0	605
sub-0618_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	212.01	"[""head-motion""]"	3.5	slight motion in sagittal 75	0	329
sub-0116_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	87.322	[]	3.5		1	252
sub-0185_T1w	rater_04	IXI dataset - MRIQC derivatives	3.65	48.95	[]	3.5		0	034
sub-1086_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	77.89	[]	3.5		1	167
sub-0694_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	51.523	[]	3.5		1	438
sub-0895_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	36.858	[]	3.5		1	150
sub-0180_T1w	rater_04	IXI dataset - MRIQC derivatives	3.65	53.683	[]	3.5		1	525
sub-0934_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	41.931	[]	3.5		0	259
sub-1199_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	61.51	[]	3.5		1	216
sub-0261_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	136.982	[]	3.5	that'd be good to have a space between rows of slices, as there is between columns, to avoid visual overlap	1	079
sub-0846_T1w	rater_04	IXI dataset - MRIQC derivatives	2.55	141.722	"[""head-motion""]"	3.5	motion in 101-113	1	072
sub-0795_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	114.829	[]	3.5		1	611
sub-0293_T1w	rater_04	IXI dataset - MRIQC derivatives	3.75	34.119	[]	3.5		1	610
sub-1126_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	36.525	[]	3.5		0	465
sub-0286_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	49.942	[]	3.5		0	211
sub-1131_T1w	rater_04	IXI dataset - MRIQC derivatives	3.4	73.108	[]	1.7	not very detailed (not many histogram values as other images) 	0	522
sub-0062_T1w	rater_04	IXI dataset - MRIQC derivatives	3.75	53.186	[]	3.5		0	613
sub-1123_T1w	rater_04	IXI dataset - MRIQC derivatives	3.65	40.838	[]	3.5		1	201
sub-1125_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	56.068	"[""head-motion""]"	3.5	slight motion in sagittal 36	1	034
sub-0761_T1w	rater_04	IXI dataset - MRIQC derivatives	3.7	41.182	[]	3.5		0	612
sub-0195_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	331.538	[]	3.5		0	516
sub-0532_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	28.448	[]	3.5		0	168
sub-0013_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	30.298	[]	3.5		0	132
sub-0278_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	23.767	[]	3.5		0	033
sub-0611_T1w	rater_04	IXI dataset - MRIQC derivatives	3.65	21.099	[]	3.5		0	575
sub-0634_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	50.748	[]	3.5		0	195
sub-0368_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	40.857	[]	3.5		1	259
sub-0135_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	247.077	[]	3.5	I see some black spots (it's not the first time) that I guess they could be mini strokes? It's not related to quality, but these subjects were supposed to be healthy right? Slices 115-128	1	168
sub-0961_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	183.352	[]	3.5		0	161
sub-0187_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	36.435	[]	3.5		0	212
sub-0964_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	101.607	[]	3.5		0	150
sub-0636_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	150.971	[]	3.5		1	242
sub-0372_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	40.708	[]	3.5		0	173
sub-0008_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	72.622	[]	3.5		0	515
sub-0720_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	50.28	[]	3.5		0	057
sub-1009_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	175.807	[]	3.5	a bit blurry?	1	338
sub-0691_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	86.424	[]	3.5		0	254
sub-1075_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	71.725	[]	3.5		1	165
sub-0667_T1w	rater_04	IXI dataset - MRIQC derivatives	3.6	83.415	[]	3.5	black spots again 96-99	1	481
sub-0856_T1w	rater_04	IXI dataset - MRIQC derivatives	3.95	103.0	[]	3.5		0	039
sub-0462_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	91.41	"[""inu""]"	3.5	INU 109 to 110 upper left part?	0	439
sub-0053_T1w	rater_04	IXI dataset - MRIQC derivatives	2.7	360.295	"[""head-motion""]"	3.5	stronger head motion artifacts around slice 124, also in sagittal 30, 46, 61	0	524
sub-1003_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	76.215	[]	3.5	a bit blurry	0	013
sub-0175_T1w	rater_04	IXI dataset - MRIQC derivatives	3.5	528.405	[]	3.5		0	216
sub-0241_T1w	rater_04	IXI dataset - MRIQC derivatives	3.55	117.267	[]	3.5		1	130
sub-0370_T1w	rater_04	IXI dataset - MRIQC derivatives	3.45	101.554	"[""head-motion""]"	3.5	motion 100-102	0	445
sub-0086_T1w	rater_02	IXI dataset - MRIQC derivatives	3.5	87.209	"[""processing""]"	3.0		0	217
sub-0205_T1w	rater_02	IXI dataset - MRIQC derivatives	2.5	85.18	"[""noise-global"",""noise-local"",""processing""]"	1.8		0	175
sub-1163_T1w	rater_02	IXI dataset - MRIQC derivatives	2.65	130.877	"[""noise-local"",""processing""]"	2.6	some dark spot. Blood vessels?	1	257
sub-0362_T1w	rater_02	IXI dataset - MRIQC derivatives	2.85	77.981	"[""wrap-around"",""processing""]"	3.5	FOV a bit short in frontal	1	248
sub-0791_T1w	rater_02	IXI dataset - MRIQC derivatives	3.4	90.533	"[""field-variation"",""processing""]"	3.5		1	385
sub-0304_T1w	rater_02	IXI dataset - MRIQC derivatives	2.65	116.165	"[""noise-global"",""processing"",""uncategorized""]"	3.5	white straight line 50-51-2 - eyes artefact in backgronf	1	280
sub-0869_T1w	rater_02	IXI dataset - MRIQC derivatives	2.8	110.743	"[""noise-global"",""processing"",""uncategorized""]"	3.25	artefact in the background	0	338
sub-0101_T1w	rater_02	IXI dataset - MRIQC derivatives	3.2	115.571	"[""processing"",""uncategorized""]"	3.45	FoV a bit shirt, small artefact in background	0	248
sub-0279_T1w	rater_02	IXI dataset - MRIQC derivatives	3.65	116.233	"[""uncategorized""]"	3.5	small artefact in the back at the eyes level. maybe sligh eye spillerover	0	012
sub-0830_T1w	rater_02	IXI dataset - MRIQC derivatives	1.6	168.717	"[""noise-global"",""noise-local"",""ghost-aliasing"",""field-variation"",""uncategorized""]"	1.95	artefact in the backgound. Gohst, drop out frontal, 	0	481
sub-0980_T1w	rater_02	IXI dataset - MRIQC derivatives	3.05	86.949	"[""uncategorized""]"	3.5	slight background noise	0	508
sub-0254_T1w	rater_02	IXI dataset - MRIQC derivatives	1.5	143.676	"[""head-motion"",""noise-global"",""noise-local""]"	3.5	blurry. poor constrast, head motion 46-62 saggital views, background artefact	0	605
sub-0618_T1w	rater_02	IXI dataset - MRIQC derivatives	1.55	93.986	"[""noise-global"",""noise-local"",""processing"",""uncategorized""]"	3.5	bckg artefact, blurry, noisy,	0	329
sub-0116_T1w	rater_02	IXI dataset - MRIQC derivatives	1.75	112.874	"[""eye-spillover"",""noise-global"",""noise-local"",""uncategorized""]"	2.3	horizontal line 38-43, eye spillover	1	252
sub-0185_T1w	rater_02	IXI dataset - MRIQC derivatives	2.75	106.974	"[""noise-global"",""wrap-around"",""processing"",""uncategorized""]"	2.5	fov short frontal - cut, backgd artefact	0	034
sub-1086_T1w	rater_02	IXI dataset - MRIQC derivatives	1.45	125.538	"[""noise-global"",""noise-local"",""field-variation"",""processing"",""uncategorized""]"	3.5	drop out 47	1	167
sub-0694_T1w	rater_02	IXI dataset - MRIQC derivatives	2.7	69.159	"[""noise-global"",""noise-local""]"	3.5		1	438
sub-0895_T1w	rater_02	IXI dataset - MRIQC derivatives	3.05	50.155	"[""noise-global"",""field-variation"",""processing""]"	3.5		1	150
sub-0180_T1w	rater_02	IXI dataset - MRIQC derivatives	2.9	116.271	"[""wrap-around"",""processing""]"	3.5	fov a bit short	1	525
sub-0934_T1w	rater_02	IXI dataset - MRIQC derivatives	2.95	91.363	"[""noise-global"",""processing"",""uncategorized""]"	3.5	smalll artefact bckgd	0	259
sub-1199_T1w	rater_02	IXI dataset - MRIQC derivatives	3.55	71.237	"[""processing""]"	3.5		1	216
sub-0261_T1w	rater_02	IXI dataset - MRIQC derivatives	3.15	88.451	"[""noise-global"",""processing""]"	3.5	small drop out	1	079
sub-0846_T1w	rater_02	IXI dataset - MRIQC derivatives	2.55	192.586	"[""head-motion"",""field-variation""]"	2.65	slight head motion artefact 109 110	1	072
sub-0795_T1w	rater_02	IXI dataset - MRIQC derivatives	3.75	101.673	[]	3.65		1	611
sub-0293_T1w	rater_02	IXI dataset - MRIQC derivatives	3.6	69.915	"[""field-variation"",""uncategorized""]"	3.5	horizontal line 39-40	1	610
sub-1126_T1w	rater_02	IXI dataset - MRIQC derivatives	3.4	98.904	"[""noise-global"",""field-variation"",""uncategorized""]"	3.0	small backgd artefact	0	465
