"rater","sub","defaced","ratings"
1,52,"original","good"
1,52,"defaced","poor"
1,53,"original","poor"
1,53,"defaced","poor"
1,54,"original","poor"
1,54,"defaced","good"
1,55,"original","excluded"
1,55,"defaced","good"
1,56,"original","excellent"
1,56,"defaced","excluded"
1,57,"original","good"
1,57,"defaced","poor"
1,58,"original","poor"
1,58,"defaced","poor"
1,59,"original","good"
1,59,"defaced","poor"
1,60,"original","excluded"
1,60,"defaced","good"
1,61,"original","poor"
1,61,"defaced","excellent"
1,62,"original","excellent"
1,62,"defaced","good"
1,63,"original","good"
1,63,"defaced","poor"
1,64,"original","excellent"
1,64,"defaced","excluded"
1,65,"original","excellent"
1,65,"defaced","excellent"
1,66,"original","poor"
1,66,"defaced","excluded"
1,67,"original","good"
1,67,"defaced","poor"
1,68,"original","excellent"
1,68,"defaced","poor"
1,69,"original","poor"
1,69,"defaced","excellent"
1,70,"original","excluded"
1,70,"defaced","good"
1,71,"original","good"
1,71,"defaced","poor"
1,72,"original","excellent"
1,72,"defaced","excluded"
1,73,"original","good"
1,73,"defaced","poor"
1,74,"original","poor"
1,74,"defaced","good"
1,75,"original","excluded"
1,75,"defaced","poor"
1,76,"original","excluded"
1,76,"defaced","excluded"
1,77,"original","good"
1,77,"defaced","excellent"
1,78,"original","excluded"
1,78,"defaced","poor"
1,79,"original","good"
1,79,"defaced","poor"
1,80,"original","good"
1,80,"defaced","excellent"
1,81,"original","poor"
1,81,"defaced","good"
1,82,"original","excluded"
1,82,"defaced","excluded"
1,83,"original","poor"
1,83,"defaced","poor"
1,84,"original","excluded"
1,84,"defaced","poor"
1,85,"original","good"
1,85,"defaced","poor"
1,86,"original","excluded"
1,86,"defaced","poor"
1,87,"original","poor"
1,87,"defaced","good"
1,88,"original","poor"
1,88,"defaced","good"
1,89,"original","excellent"
1,89,"defaced","good"
1,90,"original","good"
1,90,"defaced","excellent"
1,91,"original","excluded"
1,91,"defaced","poor"
1,92,"original","excluded"
1,92,"defaced","good"
1,93,"original","poor"
1,93,"defaced","excellent"
1,94,"original","excellent"
1,94,"defaced","excluded"
1,95,"original","excellent"
1,95,"defaced","excellent"
1,96,"original","poor"
1,96,"defaced","excellent"
1,97,"original","poor"
1,97,"defaced","poor"
1,98,"original","excellent"
1,98,"defaced","poor"
1,99,"original","poor"
1,99,"defaced","good"
1,100,"original","excluded"
1,100,"defaced","poor"
1,101,"original","good"
1,101,"defaced","poor"
1,102,"original","poor"
1,102,"defaced","poor"
1,103,"original","good"
1,103,"defaced","poor"
1,104,"original","excellent"
1,104,"defaced","poor"
1,105,"original","excluded"
1,105,"defaced","good"
1,106,"original","excellent"
1,106,"defaced","poor"
1,107,"original","excluded"
1,107,"defaced","good"
1,108,"original","excellent"
1,108,"defaced","excellent"
1,109,"original","good"
1,109,"defaced","poor"
1,110,"original","excluded"
1,110,"defaced","poor"
1,111,"original","excluded"
1,111,"defaced","excluded"
1,112,"original","excellent"
1,112,"defaced","good"
1,113,"original","excluded"
1,113,"defaced","excluded"
1,114,"original","good"
1,114,"defaced","excellent"
1,115,"original","good"
1,115,"defaced","excluded"
1,116,"original","excellent"
1,116,"defaced","good"
1,117,"original","excluded"
1,117,"defaced","excellent"
1,118,"original","poor"
1,118,"defaced","excellent"
1,119,"original","good"
1,119,"defaced","poor"
1,120,"original","excellent"
1,120,"defaced","good"
1,121,"original","excluded"
1,121,"defaced","excluded"
1,122,"original","good"
1,122,"defaced","poor"
1,123,"original","good"
1,123,"defaced","poor"
1,124,"original","excellent"
1,124,"defaced","excellent"
1,125,"original","excluded"
1,125,"defaced","excluded"
1,126,"original","excluded"
1,126,"defaced","excluded"
1,127,"original","poor"
1,127,"defaced","good"
1,128,"original","poor"
1,128,"defaced","poor"
1,129,"original","good"
1,129,"defaced","good"
1,130,"original","poor"
1,130,"defaced","poor"
1,131,"original","poor"
1,131,"defaced","excellent"
1,132,"original","good"
1,132,"defaced","good"
1,133,"original","poor"
1,133,"defaced","excluded"
1,134,"original","poor"
1,134,"defaced","excluded"
1,135,"original","poor"
1,135,"defaced","poor"
1,136,"original","excluded"
1,136,"defaced","excluded"
1,137,"original","good"
1,137,"defaced","excellent"
1,138,"original","excluded"
1,138,"defaced","excellent"
1,139,"original","excellent"
1,139,"defaced","poor"
1,140,"original","good"
1,140,"defaced","excellent"
1,141,"original","excluded"
1,141,"defaced","good"
1,142,"original","excluded"
1,142,"defaced","excellent"
1,143,"original","poor"
1,143,"defaced","good"
1,144,"original","poor"
1,144,"defaced","excluded"
1,145,"original","poor"
1,145,"defaced","excluded"
1,146,"original","good"
1,146,"defaced","excellent"
1,147,"original","good"
1,147,"defaced","poor"
1,148,"original","good"
1,148,"defaced","excluded"
1,149,"original","excellent"
1,149,"defaced","good"
1,150,"original","good"
1,150,"defaced","excellent"
1,151,"original","good"
1,151,"defaced","excluded"
1,152,"original","good"
1,152,"defaced","good"
1,153,"original","excellent"
1,153,"defaced","excluded"
1,154,"original","excellent"
1,154,"defaced","excluded"
1,155,"original","good"
1,155,"defaced","good"
1,156,"original","excellent"
1,156,"defaced","excellent"
1,157,"original","good"
1,157,"defaced","poor"
1,158,"original","excluded"
1,158,"defaced","poor"
1,159,"original","excellent"
1,159,"defaced","good"
1,160,"original","excellent"
1,160,"defaced","good"
1,161,"original","excellent"
1,161,"defaced","poor"
1,162,"original","good"
1,162,"defaced","good"
1,163,"original","excluded"
1,163,"defaced","good"
1,164,"original","excellent"
1,164,"defaced","excellent"
1,165,"original","poor"
1,165,"defaced","excluded"
1,166,"original","good"
1,166,"defaced","good"
1,167,"original","good"
1,167,"defaced","poor"
1,168,"original","excluded"
1,168,"defaced","poor"
1,169,"original","excellent"
1,169,"defaced","excluded"
1,170,"original","excluded"
1,170,"defaced","excellent"
1,171,"original","poor"
1,171,"defaced","excluded"
1,172,"original","excluded"
1,172,"defaced","good"
1,173,"original","poor"
1,173,"defaced","poor"
1,174,"original","good"
1,174,"defaced","excellent"
1,175,"original","excellent"
1,175,"defaced","poor"
1,176,"original","poor"
1,176,"defaced","excellent"
1,177,"original","poor"
1,177,"defaced","good"
1,178,"original","excellent"
1,178,"defaced","excluded"
1,179,"original","excellent"
1,179,"defaced","poor"
1,180,"original","excluded"
1,180,"defaced","poor"
1,181,"original","excellent"
1,181,"defaced","excellent"
1,182,"original","good"
1,182,"defaced","poor"
1,183,"original","excellent"
1,183,"defaced","excluded"
1,184,"original","good"
1,184,"defaced","poor"
1,185,"original","poor"
1,185,"defaced","excellent"
1,186,"original","excellent"
1,186,"defaced","excluded"
1,187,"original","excluded"
1,187,"defaced","good"
1,188,"original","excellent"
1,188,"defaced","good"
1,189,"original","excluded"
1,189,"defaced","poor"
1,190,"original","excellent"
1,190,"defaced","excellent"
1,191,"original","excellent"
1,191,"defaced","poor"
1,192,"original","excellent"
1,192,"defaced","excellent"
1,193,"original","good"
1,193,"defaced","good"
1,194,"original","excluded"
1,194,"defaced","excellent"
1,195,"original","good"
1,195,"defaced","excellent"
1,196,"original","excluded"
1,196,"defaced","good"
1,197,"original","excellent"
1,197,"defaced","excluded"
1,198,"original","excluded"
1,198,"defaced","excellent"
1,199,"original","excellent"
1,199,"defaced","good"
1,200,"original","excluded"
1,200,"defaced","excluded"
1,201,"original","excluded"
1,201,"defaced","poor"
1,202,"original","excluded"
1,202,"defaced","excellent"
1,203,"original","excellent"
1,203,"defaced","poor"
1,204,"original","excellent"
1,204,"defaced","poor"
1,205,"original","poor"
1,205,"defaced","good"
1,206,"original","poor"
1,206,"defaced","good"
1,207,"original","excellent"
1,207,"defaced","excluded"
1,208,"original","excellent"
1,208,"defaced","poor"
1,209,"original","good"
1,209,"defaced","poor"
1,210,"original","excellent"
1,210,"defaced","poor"
1,211,"original","excluded"
1,211,"defaced","poor"
1,212,"original","excluded"
1,212,"defaced","poor"
1,213,"original","good"
1,213,"defaced","poor"
1,214,"original","excluded"
1,214,"defaced","excluded"
1,215,"original","poor"
1,215,"defaced","excellent"
1,216,"original","excellent"
1,216,"defaced","good"
1,217,"original","excluded"
1,217,"defaced","poor"
1,218,"original","good"
1,218,"defaced","excellent"
1,219,"original","excluded"
1,219,"defaced","poor"
1,220,"original","excellent"
1,220,"defaced","poor"
1,221,"original","poor"
1,221,"defaced","poor"
1,222,"original","poor"
1,222,"defaced","excluded"
1,223,"original","good"
1,223,"defaced","excluded"
1,224,"original","excellent"
1,224,"defaced","poor"
1,225,"original","excellent"
1,225,"defaced","excluded"
1,226,"original","excellent"
1,226,"defaced","poor"
1,227,"original","poor"
1,227,"defaced","excellent"
1,228,"original","excellent"
1,228,"defaced","excellent"
1,229,"original","excluded"
1,229,"defaced","poor"
1,230,"original","excellent"
1,230,"defaced","good"
1,231,"original","excluded"
1,231,"defaced","excluded"
1,232,"original","good"
1,232,"defaced","good"
1,233,"original","excluded"
1,233,"defaced","poor"
1,234,"original","good"
1,234,"defaced","good"
1,235,"original","excellent"
1,235,"defaced","good"
1,236,"original","excellent"
1,236,"defaced","excluded"
1,237,"original","poor"
1,237,"defaced","excluded"
1,238,"original","excellent"
1,238,"defaced","poor"
1,239,"original","excluded"
1,239,"defaced","excluded"
1,240,"original","excluded"
1,240,"defaced","poor"
1,241,"original","excluded"
1,241,"defaced","excellent"
1,242,"original","excellent"
1,242,"defaced","excellent"
1,243,"original","good"
1,243,"defaced","excellent"
1,244,"original","excellent"
1,244,"defaced","poor"
1,245,"original","excellent"
1,245,"defaced","good"
1,246,"original","good"
1,246,"defaced","excellent"
1,247,"original","good"
1,247,"defaced","excellent"
1,248,"original","excellent"
1,248,"defaced","good"
1,249,"original","excellent"
1,249,"defaced","excluded"
1,250,"original","excluded"
1,250,"defaced","excellent"
1,251,"original","excluded"
1,251,"defaced","poor"
1,252,"original","excellent"
1,252,"defaced","good"
1,253,"original","good"
1,253,"defaced","excellent"
1,254,"original","excluded"
1,254,"defaced","excluded"
1,255,"original","excluded"
1,255,"defaced","good"
1,256,"original","poor"
1,256,"defaced","good"
1,257,"original","good"
1,257,"defaced","excluded"
1,258,"original","excellent"
1,258,"defaced","good"
1,259,"original","excellent"
1,259,"defaced","poor"
1,260,"original","poor"
1,260,"defaced","good"
1,261,"original","excellent"
1,261,"defaced","poor"
1,262,"original","good"
1,262,"defaced","excellent"
1,263,"original","excluded"
1,263,"defaced","good"
1,264,"original","excellent"
1,264,"defaced","good"
1,265,"original","poor"
1,265,"defaced","good"
1,266,"original","good"
1,266,"defaced","excluded"
1,267,"original","excluded"
1,267,"defaced","excellent"
1,268,"original","excluded"
1,268,"defaced","excellent"
1,269,"original","excluded"
1,269,"defaced","excellent"
1,270,"original","poor"
1,270,"defaced","excellent"
1,271,"original","good"
1,271,"defaced","poor"
1,272,"original","excluded"
1,272,"defaced","poor"
1,273,"original","excellent"
1,273,"defaced","poor"
1,274,"original","good"
1,274,"defaced","excellent"
1,275,"original","good"
1,275,"defaced","excellent"
1,276,"original","poor"
1,276,"defaced","excellent"
1,277,"original","good"
1,277,"defaced","excellent"
1,278,"original","good"
1,278,"defaced","good"
1,279,"original","good"
1,279,"defaced","good"
1,280,"original","excluded"
1,280,"defaced","excellent"
1,281,"original","excellent"
1,281,"defaced","good"
1,282,"original","excellent"
1,282,"defaced","excellent"
1,283,"original","good"
1,283,"defaced","excluded"
1,284,"original","good"
1,284,"defaced","excellent"
1,285,"original","good"
1,285,"defaced","excellent"
1,286,"original","excluded"
1,286,"defaced","poor"
1,287,"original","good"
1,287,"defaced","good"
1,288,"original","poor"
1,288,"defaced","excluded"
1,289,"original","good"
1,289,"defaced","excluded"
1,290,"original","poor"
1,290,"defaced","excluded"
1,291,"original","excluded"
1,291,"defaced","excellent"
1,292,"original","excluded"
1,292,"defaced","excellent"
1,293,"original","excellent"
1,293,"defaced","poor"
1,294,"original","excellent"
1,294,"defaced","good"
1,295,"original","good"
1,295,"defaced","excellent"
1,296,"original","excellent"
1,296,"defaced","excellent"
1,297,"original","good"
1,297,"defaced","good"
1,298,"original","excluded"
1,298,"defaced","poor"
1,299,"original","good"
1,299,"defaced","poor"
1,300,"original","excellent"
1,300,"defaced","excluded"
1,301,"original","excellent"
1,301,"defaced","good"
1,302,"original","poor"
1,302,"defaced","excellent"
1,303,"original","excellent"
1,303,"defaced","excellent"
1,304,"original","poor"
1,304,"defaced","poor"
1,305,"original","good"
1,305,"defaced","excellent"
1,306,"original","good"
1,306,"defaced","good"
1,307,"original","good"
1,307,"defaced","poor"
1,308,"original","excluded"
1,308,"defaced","excellent"
1,309,"original","good"
1,309,"defaced","good"
1,310,"original","excluded"
1,310,"defaced","excellent"
1,311,"original","poor"
1,311,"defaced","excluded"
1,312,"original","excluded"
1,312,"defaced","excellent"
1,313,"original","excluded"
1,313,"defaced","excellent"
1,314,"original","good"
1,314,"defaced","good"
1,315,"original","good"
1,315,"defaced","excellent"
1,316,"original","good"
1,316,"defaced","poor"
1,317,"original","poor"
1,317,"defaced","excluded"
1,318,"original","excluded"
1,318,"defaced","excellent"
1,319,"original","good"
1,319,"defaced","poor"
1,320,"original","good"
1,320,"defaced","poor"
1,321,"original","excellent"
1,321,"defaced","excluded"
1,322,"original","good"
1,322,"defaced","good"
1,323,"original","excluded"
1,323,"defaced","excluded"
1,324,"original","poor"
1,324,"defaced","good"
1,325,"original","excellent"
1,325,"defaced","poor"
1,326,"original","good"
1,326,"defaced","poor"
1,327,"original","excellent"
1,327,"defaced","good"
1,328,"original","excluded"
1,328,"defaced","excluded"
1,329,"original","good"
1,329,"defaced","excluded"
1,330,"original","excluded"
1,330,"defaced","good"
1,331,"original","excellent"
1,331,"defaced","good"
1,332,"original","poor"
1,332,"defaced","excluded"
1,333,"original","good"
1,333,"defaced","poor"
1,334,"original","excluded"
1,334,"defaced","excluded"
1,335,"original","excluded"
1,335,"defaced","good"
1,336,"original","poor"
1,336,"defaced","poor"
1,337,"original","excellent"
1,337,"defaced","excluded"
1,338,"original","excluded"
1,338,"defaced","good"
1,339,"original","excluded"
1,339,"defaced","good"
1,340,"original","excellent"
1,340,"defaced","excluded"
1,341,"original","good"
1,341,"defaced","good"
1,342,"original","good"
1,342,"defaced","good"
1,343,"original","excluded"
1,343,"defaced","poor"
1,344,"original","excluded"
1,344,"defaced","good"
1,345,"original","poor"
1,345,"defaced","poor"
1,346,"original","poor"
1,346,"defaced","excluded"
1,347,"original","good"
1,347,"defaced","excellent"
1,348,"original","poor"
1,348,"defaced","excellent"
1,349,"original","poor"
1,349,"defaced","poor"
1,350,"original","poor"
1,350,"defaced","excluded"
1,351,"original","excluded"
1,351,"defaced","excluded"
1,352,"original","excluded"
1,352,"defaced","excluded"
1,353,"original","good"
1,353,"defaced","excluded"
1,354,"original","good"
1,354,"defaced","good"
1,355,"original","excellent"
1,355,"defaced","good"
1,356,"original","excellent"
1,356,"defaced","poor"
1,357,"original","good"
1,357,"defaced","excellent"
1,358,"original","good"
1,358,"defaced","poor"
1,359,"original","poor"
1,359,"defaced","excellent"
1,360,"original","excellent"
1,360,"defaced","good"
1,361,"original","excluded"
1,361,"defaced","good"
1,362,"original","good"
1,362,"defaced","good"
1,363,"original","excellent"
1,363,"defaced","excluded"
1,364,"original","excellent"
1,364,"defaced","excellent"
1,365,"original","excellent"
1,365,"defaced","excellent"
1,366,"original","poor"
1,366,"defaced","good"
1,367,"original","excellent"
1,367,"defaced","excellent"
1,368,"original","excluded"
1,368,"defaced","poor"
1,369,"original","poor"
1,369,"defaced","poor"
1,370,"original","excellent"
1,370,"defaced","good"
1,371,"original","excellent"
1,371,"defaced","excellent"
1,372,"original","excluded"
1,372,"defaced","excluded"
1,373,"original","excluded"
1,373,"defaced","poor"
1,374,"original","poor"
1,374,"defaced","good"
1,375,"original","poor"
1,375,"defaced","good"
1,376,"original","excluded"
1,376,"defaced","excluded"
1,377,"original","poor"
1,377,"defaced","good"
1,378,"original","excluded"
1,378,"defaced","excellent"
1,379,"original","poor"
1,379,"defaced","good"
1,380,"original","poor"
1,380,"defaced","excellent"
1,381,"original","good"
1,381,"defaced","poor"
1,382,"original","excellent"
1,382,"defaced","excellent"
1,383,"original","excluded"
1,383,"defaced","excellent"
1,384,"original","good"
1,384,"defaced","good"
1,385,"original","excellent"
1,385,"defaced","poor"
1,386,"original","poor"
1,386,"defaced","poor"
1,387,"original","good"
1,387,"defaced","poor"
1,388,"original","excellent"
1,388,"defaced","poor"
1,389,"original","excluded"
1,389,"defaced","excluded"
1,390,"original","good"
1,390,"defaced","excellent"
1,391,"original","poor"
1,391,"defaced","excellent"
1,392,"original","excluded"
1,392,"defaced","excellent"
1,393,"original","excellent"
1,393,"defaced","poor"
1,394,"original","good"
1,394,"defaced","excluded"
1,395,"original","good"
1,395,"defaced","excluded"
1,396,"original","excellent"
1,396,"defaced","excluded"
1,397,"original","good"
1,397,"defaced","excluded"
1,398,"original","good"
1,398,"defaced","excellent"
1,399,"original","excellent"
1,399,"defaced","excellent"
1,400,"original","poor"
1,400,"defaced","poor"
1,401,"original","poor"
1,401,"defaced","excluded"
1,402,"original","good"
1,402,"defaced","poor"
1,403,"original","poor"
1,403,"defaced","poor"
1,404,"original","poor"
1,404,"defaced","excluded"
1,405,"original","poor"
1,405,"defaced","good"
1,406,"original","excluded"
1,406,"defaced","poor"
1,407,"original","poor"
1,407,"defaced","poor"
1,408,"original","excluded"
1,408,"defaced","excluded"
1,409,"original","excellent"
1,409,"defaced","good"
1,410,"original","excluded"
1,410,"defaced","poor"
1,411,"original","poor"
1,411,"defaced","good"
1,412,"original","poor"
1,412,"defaced","excellent"
1,413,"original","poor"
1,413,"defaced","good"
1,414,"original","poor"
1,414,"defaced","good"
1,415,"original","good"
1,415,"defaced","good"
1,416,"original","excluded"
1,416,"defaced","good"
1,417,"original","excluded"
1,417,"defaced","poor"
1,418,"original","excluded"
1,418,"defaced","excluded"
1,419,"original","poor"
1,419,"defaced","poor"
1,420,"original","excluded"
1,420,"defaced","good"
1,421,"original","poor"
1,421,"defaced","excellent"
1,422,"original","excellent"
1,422,"defaced","poor"
1,423,"original","excluded"
1,423,"defaced","excluded"
1,424,"original","good"
1,424,"defaced","good"
1,425,"original","poor"
1,425,"defaced","excellent"
1,426,"original","excellent"
1,426,"defaced","good"
1,427,"original","poor"
1,427,"defaced","poor"
1,428,"original","poor"
1,428,"defaced","excellent"
1,429,"original","excluded"
1,429,"defaced","excellent"
1,430,"original","poor"
1,430,"defaced","excellent"
1,431,"original","poor"
1,431,"defaced","excluded"
1,432,"original","poor"
1,432,"defaced","good"
1,433,"original","excluded"
1,433,"defaced","excluded"
1,434,"original","poor"
1,434,"defaced","poor"
1,435,"original","good"
1,435,"defaced","excellent"
1,436,"original","good"
1,436,"defaced","excluded"
1,437,"original","good"
1,437,"defaced","good"
1,438,"original","poor"
1,438,"defaced","excellent"
1,439,"original","good"
1,439,"defaced","excellent"
1,440,"original","excluded"
1,440,"defaced","excluded"
1,441,"original","good"
1,441,"defaced","excellent"
1,442,"original","excellent"
1,442,"defaced","good"
1,443,"original","poor"
1,443,"defaced","good"
1,444,"original","excluded"
1,444,"defaced","excellent"
1,445,"original","excluded"
1,445,"defaced","poor"
1,446,"original","good"
1,446,"defaced","good"
1,447,"original","good"
1,447,"defaced","excluded"
1,448,"original","excluded"
1,448,"defaced","excluded"
1,449,"original","good"
1,449,"defaced","excluded"
1,450,"original","poor"
1,450,"defaced","excellent"
1,451,"original","excluded"
1,451,"defaced","poor"
1,452,"original","excluded"
1,452,"defaced","poor"
1,453,"original","excluded"
1,453,"defaced","good"
1,454,"original","poor"
1,454,"defaced","excellent"
1,455,"original","excluded"
1,455,"defaced","excluded"
1,456,"original","poor"
1,456,"defaced","excluded"
1,457,"original","good"
1,457,"defaced","good"
1,458,"original","good"
1,458,"defaced","poor"
1,459,"original","poor"
1,459,"defaced","excluded"
1,460,"original","excluded"
1,460,"defaced","poor"
1,461,"original","excluded"
1,461,"defaced","excluded"
1,462,"original","excluded"
1,462,"defaced","poor"
1,463,"original","excellent"
1,463,"defaced","poor"
1,464,"original","excellent"
1,464,"defaced","excluded"
1,465,"original","poor"
1,465,"defaced","poor"
1,466,"original","poor"
1,466,"defaced","excluded"
1,467,"original","excellent"
1,467,"defaced","good"
1,468,"original","excellent"
1,468,"defaced","excellent"
1,469,"original","excluded"
1,469,"defaced","excellent"
1,470,"original","good"
1,470,"defaced","excellent"
1,471,"original","excellent"
1,471,"defaced","excluded"
1,472,"original","excluded"
1,472,"defaced","good"
1,473,"original","good"
1,473,"defaced","good"
1,474,"original","excluded"
1,474,"defaced","excellent"
1,475,"original","poor"
1,475,"defaced","excellent"
1,476,"original","good"
1,476,"defaced","excluded"
1,477,"original","excellent"
1,477,"defaced","good"
1,478,"original","poor"
1,478,"defaced","excellent"
1,479,"original","excluded"
1,479,"defaced","good"
1,480,"original","excellent"
1,480,"defaced","excellent"
1,481,"original","poor"
1,481,"defaced","good"
1,482,"original","poor"
1,482,"defaced","excluded"
1,483,"original","excluded"
1,483,"defaced","excluded"
1,484,"original","poor"
1,484,"defaced","excellent"
1,485,"original","excluded"
1,485,"defaced","good"
1,486,"original","excluded"
1,486,"defaced","good"
1,487,"original","excellent"
1,487,"defaced","excluded"
1,488,"original","poor"
1,488,"defaced","excluded"
1,489,"original","good"
1,489,"defaced","poor"
1,490,"original","poor"
1,490,"defaced","excluded"
1,491,"original","poor"
1,491,"defaced","good"
1,492,"original","good"
1,492,"defaced","good"
1,493,"original","good"
1,493,"defaced","good"
1,494,"original","excellent"
1,494,"defaced","good"
1,495,"original","excluded"
1,495,"defaced","good"
1,496,"original","excellent"
1,496,"defaced","excluded"
1,497,"original","poor"
1,497,"defaced","poor"
1,498,"original","good"
1,498,"defaced","excluded"
1,499,"original","excellent"
1,499,"defaced","excellent"
1,500,"original","excellent"
1,500,"defaced","excluded"
1,501,"original","poor"
1,501,"defaced","good"
1,502,"original","excluded"
1,502,"defaced","excluded"
1,503,"original","excellent"
1,503,"defaced","good"
1,504,"original","good"
1,504,"defaced","poor"
1,505,"original","excellent"
1,505,"defaced","poor"
1,506,"original","poor"
1,506,"defaced","good"
1,507,"original","poor"
1,507,"defaced","poor"
1,508,"original","good"
1,508,"defaced","excellent"
1,509,"original","good"
1,509,"defaced","good"
1,510,"original","good"
1,510,"defaced","poor"
1,511,"original","poor"
1,511,"defaced","good"
1,512,"original","poor"
1,512,"defaced","poor"
1,513,"original","excluded"
1,513,"defaced","good"
1,514,"original","poor"
1,514,"defaced","excellent"
1,515,"original","excluded"
1,515,"defaced","good"
1,516,"original","good"
1,516,"defaced","excellent"
1,517,"original","good"
1,517,"defaced","poor"
1,518,"original","excluded"
1,518,"defaced","excluded"
1,519,"original","excluded"
1,519,"defaced","excluded"
1,520,"original","poor"
1,520,"defaced","good"
1,521,"original","poor"
1,521,"defaced","excellent"
1,522,"original","poor"
1,522,"defaced","excellent"
1,523,"original","poor"
1,523,"defaced","poor"
1,524,"original","poor"
1,524,"defaced","good"
1,525,"original","excluded"
1,525,"defaced","excellent"
1,526,"original","excellent"
1,526,"defaced","excluded"
1,527,"original","good"
1,527,"defaced","excluded"
1,528,"original","good"
1,528,"defaced","excluded"
1,529,"original","good"
1,529,"defaced","excluded"
1,530,"original","poor"
1,530,"defaced","good"
1,531,"original","poor"
1,531,"defaced","excellent"
1,532,"original","excluded"
1,532,"defaced","excellent"
1,533,"original","excluded"
1,533,"defaced","excluded"
1,534,"original","excluded"
1,534,"defaced","excluded"
1,535,"original","excellent"
1,535,"defaced","poor"
1,536,"original","excellent"
1,536,"defaced","good"
1,537,"original","excluded"
1,537,"defaced","good"
1,538,"original","good"
1,538,"defaced","excluded"
1,539,"original","excellent"
1,539,"defaced","excellent"
1,540,"original","poor"
1,540,"defaced","excluded"
1,541,"original","good"
1,541,"defaced","excellent"
1,542,"original","good"
1,542,"defaced","excellent"
1,543,"original","good"
1,543,"defaced","good"
1,544,"original","good"
1,544,"defaced","poor"
1,545,"original","excellent"
1,545,"defaced","poor"
1,546,"original","excluded"
1,546,"defaced","excellent"
1,547,"original","excluded"
1,547,"defaced","good"
1,548,"original","excellent"
1,548,"defaced","poor"
1,549,"original","poor"
1,549,"defaced","excellent"
1,550,"original","excluded"
1,550,"defaced","poor"
1,551,"original","poor"
1,551,"defaced","good"
1,552,"original","poor"
1,552,"defaced","excluded"
1,553,"original","excellent"
1,553,"defaced","good"
1,554,"original","poor"
1,554,"defaced","good"
1,555,"original","good"
1,555,"defaced","good"
1,556,"original","excellent"
1,556,"defaced","poor"
1,557,"original","good"
1,557,"defaced","excluded"
1,558,"original","excellent"
1,558,"defaced","excluded"
1,559,"original","excluded"
1,559,"defaced","excluded"
1,560,"original","excellent"
1,560,"defaced","poor"
1,561,"original","poor"
1,561,"defaced","poor"
1,562,"original","poor"
1,562,"defaced","poor"
1,563,"original","good"
1,563,"defaced","excellent"
1,564,"original","excluded"
1,564,"defaced","good"
1,565,"original","excluded"
1,565,"defaced","good"
1,566,"original","excellent"
1,566,"defaced","good"
1,567,"original","good"
1,567,"defaced","good"
1,568,"original","excluded"
1,568,"defaced","excellent"
1,569,"original","poor"
1,569,"defaced","good"
1,570,"original","excluded"
1,570,"defaced","poor"
1,571,"original","poor"
1,571,"defaced","excluded"
